ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,REMOVE_PARAMETER,ADD_PARAMETER,REPLACE_MAGIC_NUMBER_WITH_CONSTANT,REMOVE_ASSIGNMENT_TO_PARAMETERS,INTRODUCE_EXPLAINING_VARIABLE,INLINE_TEMP,REMOVE_CONTROL_FLAG,CONSOLIDATE_COND_EXPRESSION,CONSOLIDATE_DUPLICATE_COND_FRAGMENTS,REPLACE_NESTED_COND_WITH_GUARD_CLAUSES,INLINE_METHOD,EXTRACT_METHOD,REPLACE_EXCEPTION_WITH_TEST,INTRODUCE_ASSERTION,RENAME_METHOD,REPLACE_METHOD_WITH_METHOD_OBJECT,MOVE_METHOD,HIDE_METHOD,INTRODUCE_NULL_OBJECT,INTRODUCE_LOCAL_EXTENSION,EXTRACT_SUPERCLASS,EXTRACT_INTERFACE,MOVE_FIELD,RMI
L6727,ExpectedValueCheckingTransaction,com.thinkaurelius.titan.diskstorage.locking.consistentkey.ExpectedValueCheckingTransaction,L6528,L103,titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\locking\consistentkey\ExpectedValueCheckingTransaction.java,35,1,283,2,0.0,0,0,0,0.0,0.0,0,0,12,2,2,27,7,3,0,0,16,0.25,0.40099,81,72,2,6,0.3537119999999999,81,3,3,0,0,1,121,222,6,3,6,3,16,0,7,0,16,58,0,7,0,148,249,6,3,6,3,20,0,11,0,20,72,0,11,0,0,0,42,23,13,0,0,4,0,0,0,2,0,0,4,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,22,0,3,3,10,0,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,-0.0001905080446471
L13510,MetricInstrumentedSchemaCache,com.thinkaurelius.titan.graphdb.database.cache.MetricInstrumentedSchemaCache,L13603,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\database\cache\MetricInstrumentedSchemaCache.java,13,1,61,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,6,6,1,1,0,5,0.2,0.09375,3,3,1,4,0.0714286,3,1,1,0,0,1,29,38,4,2,4,2,5,3,4,0,5,8,3,4,0,39,49,4,2,4,2,7,3,6,0,7,12,3,6,0,0,0,26,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.638031850194956e-05
L15412,TransactionLogHeader,com.thinkaurelius.titan.graphdb.database.log.TransactionLogHeader,L15350,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\database\log\TransactionLogHeader.java,29,1,260,2,0.0,0,0,0,0.0,0.0,0,0,9,3,3,31,12,5,1,0,13,0.1,0.025,3,3,1,9,0.0151514999999999,3,0,0,0,0,0,117,138,3,3,3,3,13,0,9,0,13,74,0,9,0,195,232,12,9,12,9,24,5,17,0,24,116,5,17,0,0,0,76,42,4,0,0,1,0,0,0,2,0,0,2,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,42,0,4,6,2,0,1,0,0,0,1,0,0,0,0,1,11,0,1,1,0,0,0,0,0,-0.000207694659859
L19868,GraphCentricQueryBuilder,com.thinkaurelius.titan.graphdb.query.graph.GraphCentricQueryBuilder,L19799,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\query\graph\GraphCentricQueryBuilder.java,34,1,411,2,0.0,0,0,0,0.0,0.0,0,0,1,5,5,75,38,3,4,50,76,0.0869565,0.152648,49,33,2,21,0.143695,49,1,1,0,0,1,272,358,15,1,15,1,26,0,22,0,25,178,0,22,0,292,378,15,1,15,1,29,0,25,0,28,188,0,25,0,0,0,79,1,58,0,0,39,0,0,0,0,0,3,0,3,0,17,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,-0.0007641434033406
L21184,MultiVertexCentricQueryBuilder,com.thinkaurelius.titan.graphdb.query.vertex.MultiVertexCentricQueryBuilder,L20644,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\query\vertex\MultiVertexCentricQueryBuilder.java,23,1,149,2,0.0,0,0,0,0.0,0.0,0,0,11,4,4,22,13,1,2,0,13,0.166667,0.29661,35,35,2,10,0.294118,35,3,4,0,0,2,83,126,16,5,1,1,13,0,11,0,67,34,0,39,0,84,127,16,5,1,1,13,0,11,0,67,34,0,39,0,0,1,33,4,4,0,0,3,0,0,0,1,0,2,0,1,0,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,21,0,1,0,0,0,0,0,0,-0.0004085633968556
L23576,EmptyVertex,com.thinkaurelius.titan.graphdb.types.system.EmptyVertex,L23465,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\types\system\EmptyVertex.java,23,1,287,2,0.0,0,0,0,0.0,0.0,0,0,11,1,1,49,20,3,0,5,51,0.0851064,0.0780488,16,16,4,43,0.0780488,16,4,6,3,10,1,189,265,1,19,1,19,46,0,46,3,45,50,0,45,3,189,265,1,19,1,19,46,0,46,3,45,50,0,45,3,0,0,97,2,6,0,0,3,0,0,0,1,0,0,0,1,0,0,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,-0.0005083656849717
L16245,BooleanArraySerializer,com.thinkaurelius.titan.graphdb.database.serialize.attribute.BooleanArraySerializer,L16109,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\database\serialize\attribute\BooleanArraySerializer.java,9,1,64,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,13,4,1,0,0,6,0.2,0.0408163,2,1,1,4,0.0408163,2,2,4,0,0,2,47,56,0,2,0,1,6,0,4,1,11,29,0,4,1,47,56,0,2,0,1,6,0,4,1,11,29,0,4,1,0,0,15,7,9,0,0,6,0,0,0,1,0,0,0,0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-9.755081568307842e-06
L16271,BooleanSerializer,com.thinkaurelius.titan.graphdb.database.serialize.attribute.BooleanSerializer,L16109,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\database\serialize\attribute\BooleanSerializer.java,7,1,55,2,0.0,0,0,0,0.0,0.0,0,0,8,2,1,13,3,1,0,0,8,0.0,0.025,1,0,0,9,0.025,1,3,3,0,0,1,39,49,0,0,0,0,8,0,8,0,8,14,0,8,0,39,49,0,0,0,0,8,0,8,0,8,14,0,8,0,0,0,18,0,4,0,0,1,0,0,0,1,0,0,1,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.37894654587079e-06
L16294,ByteArraySerializer,com.thinkaurelius.titan.graphdb.database.serialize.attribute.ByteArraySerializer,L16109,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\database\serialize\attribute\ByteArraySerializer.java,9,1,45,2,0.0,0,0,0,0.0,0.0,0,0,4,2,2,9,4,1,0,0,6,0.2,0.0666667,2,1,1,4,0.0666667,2,2,4,0,0,2,28,37,0,2,0,1,6,0,4,1,11,13,0,4,1,28,37,0,2,0,1,6,0,4,1,11,13,0,4,1,0,0,15,2,6,0,0,5,0,0,0,1,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.914210443088038e-05
L16314,ByteSerializer,com.thinkaurelius.titan.graphdb.database.serialize.attribute.ByteSerializer,L16109,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\database\serialize\attribute\ByteSerializer.java,7,1,54,2,0.560241,1,5,1,0.25,0.352941,12,12,6,2,2,12,3,1,0,0,6,0.1428569999999999,0.1282049999999999,5,4,1,6,0.1282049999999999,5,3,3,0,0,1,34,48,1,0,1,0,6,0,6,0,6,15,0,6,0,34,48,1,0,1,0,6,0,6,0,6,15,0,6,0,0,0,25,2,6,0,0,4,0,11,0,1,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-6.864408492268659e-05
